Process_ID,Stage_1_Time,Stage_2_Time,Stage_3_Time,Total_Time,Delay_Flag
P0001,16.22,24.53,15.74,56.49,0
P0002,10.84,19.17,14.67,44.68,0
P0003,18.0,21.68,20.17,59.85,0
P0004,18.76,30.07,19.26,68.09,1
P0005,7.2,25.02,10.98,43.2,0
P0006,9.79,27.72,23.61,61.12,0
P0007,15.51,30.36,17.53,63.4,1
P0008,13.74,22.0,12.45,48.19,0
P0009,14.93,31.05,23.94,69.92,1
P0010,11.59,28.03,21.13,60.75,0
P0011,18.52,15.12,11.68,45.32,0
P0012,18.11,36.54,26.89,81.54,1
P0013,15.26,20.99,21.29,57.54,0
P0014,19.51,11.76,17.95,49.22,0
P0015,16.87,16.64,25.95,59.46,0
P0016,11.56,16.83,18.8,47.19,0
P0017,16.48,25.42,17.86,59.76,0
P0018,11.16,22.81,14.7,48.67,0
P0019,18.51,22.31,20.91,61.73,0
P0020,14.8,29.96,20.38,65.14,1
P0021,14.26,27.72,18.07,60.05,0
P0022,12.28,27.53,14.05,53.86,0
P0023,19.89,28.28,18.65,66.82,1
P0024,14.38,29.93,17.65,61.96,0
P0025,13.29,8.14,11.33,32.76,0
P0026,13.59,22.08,10.64,46.31,0
P0027,17.13,7.56,20.83,45.52,0
P0028,16.46,25.29,4.99,46.74,0
P0029,16.65,24.96,19.03,60.64,0
P0030,16.72,33.36,15.61,65.69,1
P0031,23.57,34.5,24.54,82.61,1
P0032,13.37,26.62,15.53,55.52,0
P0033,12.95,21.0,21.3,55.25,0
P0034,11.74,28.88,16.02,56.64,0
P0035,17.46,20.78,18.57,56.81,0
P0036,19.52,24.99,21.68,66.19,1
P0037,14.54,32.89,15.69,63.12,1
P0038,11.64,20.54,22.98,55.16,0
P0039,11.7,31.45,13.03,56.18,0
P0040,17.6,30.42,19.47,67.49,1
P0041,17.97,17.36,22.61,57.94,0
P0042,17.17,32.79,21.3,71.26,1
P0043,12.34,30.59,27.58,70.51,1
P0044,15.93,25.82,14.18,55.93,0
P0045,15.47,18.9,11.1,45.47,0
P0046,15.87,18.13,13.03,47.03,0
P0047,18.49,20.7,21.3,60.49,0
P0048,15.89,29.34,20.49,65.72,1
P0049,17.72,17.35,18.51,53.58,0
P0050,15.27,28.5,12.39,56.16,0
P0051,16.16,15.07,21.83,53.06,0
P0052,17.53,23.37,11.88,52.78,0
P0053,9.17,25.88,23.79,58.84,0
P0054,13.72,44.56,32.29,90.57,1
P0055,13.12,13.98,19.83,46.93,0
P0056,12.44,36.78,20.92,70.14,1
P0057,13.9,26.2,15.54,55.64,0
P0058,20.98,28.29,8.95,58.22,0
P0059,11.54,25.95,14.99,52.48,0
P0060,18.87,28.56,12.54,59.97,0
P0061,8.27,23.77,10.76,42.8,0
P0062,13.66,36.63,26.61,76.9,1
P0063,15.65,21.35,19.36,56.36,0
P0064,17.34,34.06,19.9,71.3,1
P0065,17.84,19.85,16.45,54.14,0
P0066,18.17,24.52,17.14,59.83,0
P0067,13.61,16.42,22.82,52.85,0
P0068,13.15,28.64,17.84,59.63,0
P0069,18.43,36.56,20.65,75.64,1
P0070,14.23,24.38,17.02,55.63,0
P0071,9.9,23.42,16.29,49.61,0
P0072,10.47,16.08,10.97,37.52,0
P0073,11.32,23.17,8.11,42.6,0
P0074,16.99,12.26,16.69,45.94,0
P0075,15.57,17.7,18.28,51.55,0
P0076,17.76,26.81,11.57,56.14,0
P0077,13.29,35.55,17.83,66.67,1
P0078,15.63,47.47,18.27,81.37,1
P0079,17.5,20.31,7.22,45.03,0
P0080,13.76,36.48,13.42,63.66,1
P0081,16.83,26.95,20.04,63.82,1
P0082,12.35,23.79,19.94,56.08,0
P0083,13.55,28.46,12.23,54.24,0
P0084,13.47,25.5,18.79,57.76,0
P0085,10.22,25.88,23.11,59.21,0
P0086,16.95,21.73,21.89,60.57,0
P0087,13.12,13.82,17.52,44.46,0
P0088,15.05,12.65,15.66,43.36,0
P0089,16.92,30.23,14.85,62.0,0
P0090,16.79,22.79,20.34,59.92,0
P0091,17.66,20.23,18.98,56.87,0
P0092,14.61,25.07,21.15,60.83,0
P0093,13.31,31.36,18.66,63.33,1
P0094,14.68,26.44,22.09,63.21,1
P0095,8.25,19.75,18.47,46.47,0
P0096,9.21,34.81,21.92,65.94,1
P0097,9.71,37.63,22.35,69.69,1
P0098,11.01,28.96,13.98,53.95,0
P0099,16.6,32.79,8.96,58.35,0
P0100,11.38,34.94,25.72,72.04,1
P0101,13.49,34.04,19.28,66.81,1
P0102,20.2,29.91,9.43,59.54,0
P0103,13.57,29.79,14.43,57.79,0
P0104,17.95,29.16,21.86,68.97,1
P0105,11.27,16.22,16.6,44.09,0
P0106,14.18,30.61,15.44,60.23,0
P0107,11.2,14.15,25.0,50.35,0
P0108,13.64,18.64,12.76,45.04,0
P0109,18.36,35.43,14.01,67.8,1
P0110,8.09,31.72,19.06,58.87,0
P0111,16.74,36.9,19.95,73.59,1
P0112,15.95,22.83,20.48,59.26,0
P0113,12.62,15.78,22.56,50.96,0
P0114,9.22,23.08,18.99,51.29,0
P0115,15.29,25.82,20.45,61.56,0
P0116,12.88,25.63,16.7,55.21,0
P0117,15.93,34.07,18.31,68.31,1
P0118,15.09,22.11,18.54,55.74,0
P0119,21.41,27.82,19.08,68.31,1
P0120,14.04,17.09,21.86,52.99,0
P0121,10.91,28.6,20.78,60.29,0
P0122,15.72,25.02,18.22,58.96,0
P0123,15.88,19.0,13.95,48.83,0
P0124,20.44,23.11,18.34,61.89,0
P0125,18.34,23.53,17.86,59.73,0
P0126,16.43,22.84,18.97,58.24,0
P0127,20.85,39.17,29.03,89.05,1
P0128,10.24,24.21,15.38,49.83,0
P0129,12.44,23.05,20.11,55.6,0
P0130,11.29,8.22,23.34,42.85,0
P0131,13.44,17.85,18.49,49.78,0
P0132,9.49,22.9,29.69,62.08,1
P0133,17.54,19.51,16.11,53.16,0
P0134,14.11,36.05,19.62,69.78,1
P0135,9.12,23.68,14.01,46.81,0
P0136,10.94,35.31,16.24,62.49,1
P0137,16.25,25.49,19.24,60.98,0
P0138,18.35,25.3,22.23,65.88,1
P0139,22.99,24.29,19.6,66.88,1
P0140,26.66,25.03,24.3,75.99,1
P0141,16.66,38.75,17.53,72.94,1
P0142,11.04,6.44,16.34,33.82,0
P0143,6.47,8.99,31.52,46.98,0
P0144,16.07,20.65,19.97,56.69,0
P0145,11.75,25.12,14.4,51.27,0
P0146,13.34,30.52,14.53,58.39,0
P0147,12.55,28.78,13.29,54.62,0
P0148,14.44,21.93,22.68,59.05,0
P0149,19.26,33.15,16.18,68.59,1
P0150,15.63,33.24,18.64,67.51,1
P0151,14.37,26.47,17.68,58.52,0
P0152,10.86,32.7,21.66,65.22,1
P0153,8.3,27.18,13.77,49.25,0
P0154,13.05,20.51,12.62,46.18,0
P0155,14.78,30.58,19.12,64.48,1
P0156,22.07,25.88,21.0,68.95,1
P0157,15.52,25.01,19.66,60.19,0
P0158,18.93,36.78,13.95,69.66,1
P0159,13.0,5.39,21.39,39.78,0
P0160,10.26,13.66,14.28,38.2,0
P0161,11.14,15.5,15.39,42.03,0
P0162,12.1,22.09,13.28,47.47,0
P0163,23.51,22.96,24.51,70.98,1
P0164,11.71,12.94,21.17,45.82,0
P0165,18.35,17.12,21.02,56.49,0
P0166,11.39,18.11,24.24,53.74,0
P0167,18.73,44.66,32.06,95.45,1
P0168,16.54,39.41,9.45,65.4,1
P0169,14.37,21.71,14.31,50.39,0
P0170,14.84,22.09,14.92,51.85,0
P0171,12.38,15.81,13.75,41.94,0
P0172,16.78,9.73,12.61,39.12,0
P0173,13.18,24.06,16.5,53.74,0
P0174,10.1,17.02,11.92,39.04,0
P0175,9.89,24.32,19.68,53.89,0
P0176,15.69,12.2,18.26,46.15,0
P0177,21.32,18.9,20.41,60.63,0
P0178,15.64,26.19,20.54,62.37,1
P0179,14.53,27.93,21.02,63.48,1
P0180,16.14,28.34,16.13,60.61,0
P0181,20.22,14.44,28.61,63.27,1
P0182,15.88,31.84,19.17,66.89,1
P0183,13.36,18.6,8.69,40.65,0
P0184,19.43,30.06,12.99,62.48,1
P0185,16.72,24.91,9.3,50.93,0
P0186,21.14,13.99,18.09,53.22,0
P0187,15.73,22.47,17.39,55.59,0
P0188,10.1,27.92,15.66,53.68,0
P0189,9.53,29.9,28.05,67.48,1
P0190,21.6,23.87,20.74,66.21,1
P0191,21.89,37.25,21.63,80.77,1
P0192,14.28,33.06,13.34,60.68,0
P0193,13.47,22.95,13.0,49.42,0
P0194,20.85,31.0,18.18,70.03,1
P0195,10.57,40.47,18.87,69.91,1
P0196,11.42,40.68,8.72,60.82,0
P0197,17.57,15.18,17.1,49.85,0
P0198,13.42,17.59,18.07,49.08,0
P0199,14.98,36.88,16.92,68.78,1
P0200,14.35,16.53,13.93,44.81,0
P0201,16.35,14.42,15.3,46.07,0
P0202,20.63,21.11,17.12,58.86,0
P0203,15.36,28.36,18.45,62.17,1
P0204,17.58,24.18,21.02,62.78,1
P0205,6.8,19.8,23.4,50.0,0
P0206,14.81,19.61,16.53,50.95,0
P0207,11.63,19.3,15.72,46.65,0
P0208,10.12,17.96,20.19,48.27,0
P0209,11.49,43.25,21.05,75.79,1
P0210,13.66,27.38,15.83,56.87,0
P0211,18.66,32.09,21.95,72.7,1
P0212,9.69,21.09,22.9,53.68,0
P0213,15.12,23.51,24.46,63.09,1
P0214,13.06,19.29,26.89,59.24,0
P0215,13.69,3.79,13.67,31.15,0
P0216,19.01,13.98,18.07,51.06,0
P0217,17.15,10.52,18.06,45.73,0
P0218,20.35,7.0,17.51,44.86,0
P0219,14.38,15.44,14.75,44.57,0
